ts_ms,best_bid,best_ask,bid_size,ask_size
1765686358222,90279.3000000000,90279.4000000000,3.051000,0.971000
1765686358842,90279.3000000000,90279.4000000000,3.052000,0.957000
1765686358852,90279.3000000000,90279.4000000000,3.051000,0.971000
1765686359873,90279.3000000000,90279.4000000000,3.051000,0.969000
1765686360393,90279.3000000000,90279.4000000000,3.051000,0.970000
1765686360432,90279.3000000000,90279.4000000000,3.054000,0.967000
1765686360442,90279.3000000000,90279.4000000000,3.051000,0.967000
1765686360992,90279.3000000000,90279.4000000000,3.051000,0.966000
1765686362112,90279.3000000000,90279.4000000000,3.051000,0.919000
1765686362222,90279.3000000000,90279.4000000000,3.050000,0.919000
1765686362262,90279.3000000000,90279.4000000000,3.050000,0.929000
1765686362462,90279.3000000000,90279.4000000000,3.050000,1.095000
1765686362582,90279.3000000000,90279.4000000000,3.050000,0.929000
1765686362603,90279.3000000000,90279.4000000000,3.050000,0.928000
1765686363023,90279.3000000000,90279.4000000000,3.050000,0.914000
1765686363032,90279.3000000000,90279.4000000000,3.050000,0.928000
1765686363903,90279.3000000000,90279.4000000000,3.051000,0.928000
1765686364003,90279.3000000000,90279.4000000000,3.051000,0.920000
1765686364102,90279.3000000000,90279.4000000000,3.054000,0.928000
1765686364112,90279.3000000000,90279.4000000000,3.051000,0.928000
1765686364692,90279.3000000000,90279.4000000000,3.161000,0.928000
1765686365062,90279.3000000000,90279.4000000000,3.051000,0.928000
1765686365103,90279.3000000000,90279.4000000000,3.051000,0.742000
1765686365112,90279.3000000000,90279.4000000000,3.051000,0.790000
1765686365142,90279.3000000000,90279.4000000000,3.089000,0.723000
1765686365152,90279.3000000000,90279.4000000000,3.088000,1.084000
1765686365172,90279.3000000000,90279.4000000000,3.199000,1.084000
1765686365252,90279.3000000000,90279.4000000000,3.265000,1.070000
1765686365352,90279.3000000000,90279.4000000000,3.249000,1.070000
1765686365362,90279.3000000000,90279.4000000000,3.249000,1.084000
1765686365372,90279.3000000000,90279.4000000000,3.271000,1.084000
1765686365382,90279.3000000000,90279.4000000000,3.269000,1.084000
1765686365404,90279.3000000000,90279.4000000000,3.159000,1.264000
1765686365542,90279.3000000000,90279.4000000000,3.122000,1.264000
1765686366102,90279.3000000000,90279.4000000000,3.122000,1.270000
1765686368252,90279.3000000000,90279.4000000000,3.122000,1.406000
1765686368272,90279.3000000000,90279.4000000000,3.122000,1.706000
1765686368283,90279.3000000000,90279.4000000000,3.121000,1.786000
1765686368392,90279.3000000000,90279.4000000000,3.287000,1.952000
1765686368403,90279.3000000000,90279.4000000000,3.121000,1.952000
1765686368442,90279.3000000000,90279.4000000000,3.121000,1.486000
1765686368673,90279.3000000000,90279.4000000000,3.121000,1.406000
1765686369104,90279.3000000000,90279.4000000000,3.124000,1.406000
1765686369403,90279.3000000000,90279.4000000000,3.105000,1.406000
1765686369412,90279.3000000000,90279.4000000000,3.104000,1.406000
1765686369423,90279.3000000000,90279.4000000000,3.123000,1.406000
1765686370663,90279.3000000000,90279.4000000000,3.123000,1.405000
1765686371572,90279.3000000000,90279.4000000000,3.124000,1.405000
1765686372193,90279.3000000000,90279.4000000000,3.124000,1.488000
1765686372783,90279.3000000000,90279.4000000000,3.161000,1.488000
1765686373072,90279.3000000000,90279.4000000000,3.131000,1.488000
1765686373083,90279.3000000000,90279.4000000000,3.094000,1.405000
1765686373183,90279.3000000000,90279.4000000000,3.095000,1.705000
1765686373193,90279.3000000000,90279.4000000000,3.094000,1.705000
1765686374372,90279.3000000000,90279.4000000000,3.095000,1.705000
1765686375203,90279.3000000000,90279.4000000000,3.095000,1.697000
1765686375313,90279.3000000000,90279.4000000000,3.095000,1.705000
1765686375733,90279.3000000000,90279.4000000000,3.096000,1.705000
1765686375933,90279.3000000000,90279.4000000000,3.096000,1.405000
1765686377472,90279.3000000000,90279.4000000000,3.096000,1.408000
1765686378523,90279.3000000000,90279.4000000000,3.096000,1.228000
1765686378553,90279.3000000000,90279.4000000000,3.096000,1.405000
1765686378643,90279.3000000000,90279.4000000000,3.096000,1.227000
1765686378663,90279.3000000000,90279.4000000000,3.096000,1.407000
1765686379813,90279.3000000000,90279.4000000000,3.096000,1.227000
1765686380232,90279.3000000000,90279.4000000000,3.096000,1.407000
1765686380742,90279.3000000000,90279.4000000000,3.096000,1.227000
1765686381342,90279.3000000000,90279.4000000000,3.096000,1.407000
1765686382533,90279.3000000000,90279.4000000000,3.096000,1.707000
1765686382553,90279.3000000000,90279.4000000000,3.096000,1.787000
1765686382563,90279.3000000000,90279.4000000000,3.096000,1.907000
1765686382663,90279.3000000000,90279.4000000000,3.096000,1.787000
1765686383032,90279.3000000000,90279.4000000000,3.096000,1.707000
1765686384342,90279.3000000000,90279.4000000000,3.095000,1.407000
1765686384602,90279.3000000000,90279.4000000000,3.095000,1.406000
1765686384962,90279.3000000000,90279.4000000000,1.678000,2.642000
1765686384972,90279.3000000000,90279.4000000000,0.455000,2.752000
1765686384982,90279.3000000000,90279.4000000000,0.455000,2.755000
1765686385004,90279.3000000000,90279.4000000000,0.433000,2.755000
1765686385052,90279.3000000000,90279.4000000000,0.287000,2.921000
1765686385063,90279.3000000000,90279.4000000000,0.170000,3.478000
1765686385072,90279.3000000000,90279.4000000000,0.160000,3.536000
1765686385082,90278.4000000000,90278.5000000000,0.320000,12.926000
1765686385092,90276.5000000000,90277.0000000000,0.001000,0.524000
1765686385103,90276.5000000000,90276.6000000000,0.001000,5.464000
1765686385112,90272.6000000000,90272.7000000000,0.839000,8.274000
1765686385123,90272.6000000000,90272.7000000000,1.376000,4.312000
1765686385132,90272.6000000000,90272.7000000000,1.376000,4.311000
1765686385142,90272.6000000000,90272.7000000000,1.398000,4.274000
1765686385152,90272.6000000000,90272.7000000000,1.100000,4.274000
1765686385372,90272.6000000000,90272.7000000000,0.574000,4.299000
1765686385382,90272.6000000000,90272.7000000000,1.215000,4.299000
1765686385392,90272.6000000000,90272.7000000000,1.326000,3.334000
1765686385422,90272.6000000000,90272.7000000000,0.939000,3.334000
1765686385442,90272.6000000000,90272.7000000000,0.917000,3.334000
1765686385452,90272.6000000000,90272.7000000000,0.940000,3.334000
1765686385462,90272.6000000000,90272.7000000000,0.918000,2.954000
1765686385482,90272.6000000000,90272.7000000000,0.984000,2.954000
1765686385542,90272.6000000000,90272.7000000000,1.393000,2.954000
1765686385704,90272.6000000000,90272.7000000000,1.503000,2.954000
1765686386433,90272.6000000000,90272.7000000000,1.583000,2.954000
1765686386862,90272.6000000000,90272.7000000000,0.534000,2.991000
1765686387032,90272.6000000000,90272.7000000000,0.534000,2.992000
1765686387304,90272.6000000000,90272.7000000000,0.368000,3.812000
1765686387312,90272.6000000000,90272.7000000000,0.092000,3.867000
1765686387323,90270.3000000000,90270.4000000000,0.001000,0.180000
1765686387332,90267.9000000000,90268.0000000000,0.008000,2.949000
1765686387343,90267.9000000000,90268.0000000000,0.002000,7.584000
1765686387352,90267.9000000000,90268.0000000000,0.281000,7.586000
1765686387363,90266.1000000000,90266.2000000000,0.001000,1.628000
1765686387372,90263.0000000000,90263.2000000000,0.006000,1.582000
1765686387383,90263.0000000000,90263.1000000000,0.615000,4.151000
1765686387392,90263.0000000000,90263.1000000000,1.035000,4.268000
1765686387410,90263.0000000000,90263.1000000000,0.899000,3.482000
1765686387422,90263.0000000000,90263.1000000000,0.899000,3.481000
1765686387483,90263.0000000000,90263.1000000000,0.899000,3.422000
1765686387492,90263.0000000000,90263.1000000000,0.888000,3.422000
1765686387505,90263.0000000000,90263.1000000000,0.819000,3.422000
1765686387522,90263.0000000000,90263.1000000000,0.807000,3.422000
1765686387532,90263.0000000000,90263.1000000000,0.863000,3.422000
1765686387562,90263.0000000000,90263.1000000000,0.852000,3.422000
