ts_ms,seq,prev_seq,book_side,price,size,type
1766200182261,501512505176,0,bid,88170.90,1.725,snapshot
1766200182261,501512505176,0,bid,88170.80,0.004,snapshot
1766200182261,501512505176,0,bid,88169.70,0.001,snapshot
1766200182261,501512505176,0,bid,88169.30,0.005,snapshot
1766200182261,501512505176,0,bid,88169.20,0.002,snapshot
1766200182261,501512505176,0,bid,88168.50,0.001,snapshot
1766200182261,501512505176,0,bid,88168.40,0.002,snapshot
1766200182261,501512505176,0,bid,88168.30,0.090,snapshot
1766200182261,501512505176,0,bid,88168.10,0.002,snapshot
1766200182261,501512505176,0,bid,88168.00,0.001,snapshot
1766200182261,501512505176,0,bid,88167.70,0.001,snapshot
1766200182261,501512505176,0,bid,88167.50,0.002,snapshot
1766200182261,501512505176,0,bid,88167.40,0.004,snapshot
1766200182261,501512505176,0,bid,88167.30,0.007,snapshot
1766200182261,501512505176,0,bid,88167.20,0.004,snapshot
1766200182261,501512505176,0,bid,88167.10,0.012,snapshot
1766200182261,501512505176,0,bid,88166.80,0.004,snapshot
1766200182261,501512505176,0,bid,88166.70,0.907,snapshot
1766200182261,501512505176,0,bid,88166.60,0.005,snapshot
1766200182261,501512505176,0,bid,88166.50,0.011,snapshot
1766200182261,501512505176,0,bid,88166.40,0.103,snapshot
1766200182261,501512505176,0,bid,88166.30,0.001,snapshot
1766200182261,501512505176,0,bid,88166.10,0.004,snapshot
1766200182261,501512505176,0,bid,88165.80,0.001,snapshot
1766200182261,501512505176,0,bid,88165.70,0.005,snapshot
1766200182261,501512505176,0,bid,88165.60,0.028,snapshot
1766200182261,501512505176,0,bid,88165.50,0.016,snapshot
1766200182261,501512505176,0,bid,88165.40,0.008,snapshot
1766200182261,501512505176,0,bid,88165.30,0.012,snapshot
1766200182261,501512505176,0,bid,88165.20,0.018,snapshot
1766200182261,501512505176,0,bid,88165.10,0.004,snapshot
1766200182261,501512505176,0,bid,88165.00,3.786,snapshot
1766200182261,501512505176,0,bid,88164.90,0.004,snapshot
1766200182261,501512505176,0,bid,88164.80,0.139,snapshot
1766200182261,501512505176,0,bid,88164.00,0.002,snapshot
1766200182261,501512505176,0,bid,88163.80,0.001,snapshot
1766200182261,501512505176,0,bid,88163.70,0.010,snapshot
1766200182261,501512505176,0,bid,88163.60,0.907,snapshot
1766200182261,501512505176,0,bid,88163.50,0.003,snapshot
1766200182261,501512505176,0,bid,88163.40,0.004,snapshot
1766200182261,501512505176,0,bid,88163.30,0.109,snapshot
1766200182261,501512505176,0,bid,88163.20,0.126,snapshot
1766200182261,501512505176,0,bid,88163.10,0.121,snapshot
1766200182261,501512505176,0,bid,88163.00,0.019,snapshot
1766200182261,501512505176,0,bid,88162.90,0.016,snapshot
1766200182261,501512505176,0,bid,88162.80,0.008,snapshot
1766200182261,501512505176,0,bid,88162.70,0.115,snapshot
1766200182261,501512505176,0,bid,88162.60,1.399,snapshot
1766200182261,501512505176,0,bid,88162.50,0.012,snapshot
1766200182261,501512505176,0,bid,88162.40,0.004,snapshot
1766200182261,501512505176,0,ask,88171.00,1.134,snapshot
1766200182261,501512505176,0,ask,88171.10,0.001,snapshot
1766200182261,501512505176,0,ask,88171.40,0.014,snapshot
1766200182261,501512505176,0,ask,88172.70,0.002,snapshot
1766200182261,501512505176,0,ask,88173.00,0.001,snapshot
1766200182261,501512505176,0,ask,88173.60,0.002,snapshot
1766200182261,501512505176,0,ask,88174.30,0.207,snapshot
1766200182261,501512505176,0,ask,88174.40,0.569,snapshot
1766200182261,501512505176,0,ask,88174.50,0.011,snapshot
1766200182261,501512505176,0,ask,88175.20,0.005,snapshot
1766200182261,501512505176,0,ask,88175.30,0.002,snapshot
1766200182261,501512505176,0,ask,88176.20,0.002,snapshot
1766200182261,501512505176,0,ask,88176.60,0.001,snapshot
1766200182261,501512505176,0,ask,88177.10,0.004,snapshot
1766200182261,501512505176,0,ask,88177.20,0.003,snapshot
1766200182261,501512505176,0,ask,88177.40,0.002,snapshot
1766200182261,501512505176,0,ask,88178.90,0.002,snapshot
1766200182261,501512505176,0,ask,88179.00,0.065,snapshot
