ts_ms,best_bid,best_ask,bid_size,ask_size
1765665076402,90037.8000000000,90037.9000000000,5.947000,1.071000
1765665076882,90037.8000000000,90037.9000000000,5.986000,1.071000
1765665077104,90037.8000000000,90037.9000000000,6.042000,1.071000
1765665077193,90037.8000000000,90037.9000000000,6.046000,1.071000
1765665077203,90037.8000000000,90037.9000000000,5.990000,1.071000
1765665077252,90037.8000000000,90037.9000000000,5.951000,1.071000
1765665077302,90037.8000000000,90037.9000000000,5.947000,1.071000
1765665077752,90037.8000000000,90037.9000000000,5.947000,0.685000
1765665077842,90037.8000000000,90037.9000000000,5.947000,0.574000
1765665077852,90037.8000000000,90037.9000000000,5.952000,0.574000
1765665077862,90037.8000000000,90037.9000000000,5.947000,0.574000
1765665077982,90037.8000000000,90037.9000000000,5.952000,0.574000
1765665078003,90037.8000000000,90037.9000000000,5.947000,0.574000
1765665078063,90037.8000000000,90037.9000000000,6.119000,0.574000
1765665078132,90037.8000000000,90037.9000000000,6.121000,0.574000
1765665078192,90037.8000000000,90037.9000000000,5.954000,0.574000
1765665078392,90037.8000000000,90037.9000000000,5.960000,0.574000
1765665078422,90037.8000000000,90037.9000000000,6.135000,0.574000
1765665078492,90037.8000000000,90037.9000000000,5.960000,0.574000
1765665078503,90037.8000000000,90037.9000000000,6.129000,0.574000
1765665078662,90037.8000000000,90037.9000000000,6.123000,0.574000
1765665078832,90037.8000000000,90037.9000000000,6.123000,0.335000
1765665079312,90037.8000000000,90037.9000000000,6.179000,0.335000
1765665079362,90038.1000000000,90038.2000000000,7.187000,0.007000
1765665079372,90038.1000000000,90038.2000000000,7.751000,0.007000
1765665079392,90038.1000000000,90038.2000000000,7.768000,0.007000
1765665079403,90038.1000000000,90038.2000000000,7.808000,0.007000
1765665079432,90038.1000000000,90038.2000000000,10.838000,0.007000
1765665079442,90038.1000000000,90038.2000000000,11.304000,0.007000
1765665079472,90038.1000000000,90038.2000000000,11.305000,0.007000
1765665079543,90038.1000000000,90038.2000000000,11.360000,0.007000
1765665079652,90038.1000000000,90038.2000000000,11.280000,0.005000
1765665079662,90038.1000000000,90038.2000000000,11.796000,0.005000
1765665079812,90038.1000000000,90038.2000000000,11.806000,0.005000
1765665080102,90038.1000000000,90038.2000000000,11.806000,0.317000
1765665082582,90038.1000000000,90038.2000000000,11.806000,0.292000
1765665083752,90038.2000000000,90038.3000000000,6.973000,0.392000
1765665083762,90038.2000000000,90038.3000000000,7.384000,0.392000
1765665083772,90038.2000000000,90038.3000000000,7.399000,0.392000
1765665083792,90038.2000000000,90038.3000000000,7.455000,0.392000
1765665083803,90038.2000000000,90038.3000000000,7.455000,0.361000
1765665083812,90038.2000000000,90038.3000000000,7.476000,0.361000
1765665083822,90038.2000000000,90038.3000000000,10.511000,0.361000
1765665083832,90038.2000000000,90038.3000000000,10.730000,0.361000
1765665083843,90038.2000000000,90038.3000000000,10.739000,0.361000
1765665083932,90038.2000000000,90038.3000000000,10.794000,0.361000
1765665084082,90038.2000000000,90038.3000000000,10.714000,0.355000
1765665084492,90038.2000000000,90038.3000000000,10.714000,0.658000
1765665084573,90038.2000000000,90038.3000000000,10.715000,0.658000
1765665084703,90038.2000000000,90038.3000000000,10.700000,0.658000
1765665084853,90038.2000000000,90038.3000000000,10.710000,0.658000
1765665085323,90038.2000000000,90038.3000000000,10.710000,0.656000
1765665085992,90038.2000000000,90038.3000000000,10.705000,0.656000
1765665086042,90038.2000000000,90038.3000000000,10.710000,0.656000
1765665086163,90038.2000000000,90038.3000000000,10.690000,0.656000
1765665086303,90038.2000000000,90038.3000000000,10.701000,0.656000
1765665086563,90038.2000000000,90038.3000000000,10.703000,0.656000
1765665086832,90038.2000000000,90038.3000000000,10.692000,0.656000
1765665086982,90038.2000000000,90038.3000000000,10.703000,0.656000
1765665087383,90038.2000000000,90038.3000000000,10.703000,0.353000
1765665087392,90038.2000000000,90038.3000000000,10.703000,0.651000
1765665087402,90038.2000000000,90038.3000000000,10.698000,0.651000
1765665087412,90038.2000000000,90038.3000000000,10.690000,0.651000
1765665087473,90038.2000000000,90038.3000000000,10.695000,0.651000
1765665088042,90038.2000000000,90038.3000000000,10.695000,0.646000
1765665088392,90038.2000000000,90038.3000000000,10.762000,0.646000
1765665088452,90038.2000000000,90038.3000000000,10.757000,0.646000
1765665088462,90038.2000000000,90038.3000000000,10.762000,0.646000
1765665088633,90038.2000000000,90038.3000000000,10.751000,0.646000
1765665088782,90038.2000000000,90038.3000000000,10.762000,0.646000
1765665089082,90038.2000000000,90038.3000000000,10.757000,1.143000
1765665089113,90038.2000000000,90038.3000000000,10.757000,1.032000
1765665089162,90038.2000000000,90038.3000000000,10.756000,1.032000
1765665089233,90038.2000000000,90038.3000000000,10.761000,1.032000
1765665089242,90038.2000000000,90038.3000000000,10.762000,1.032000
1765665089402,90038.2000000000,90038.3000000000,10.596000,1.032000
1765665089413,90038.2000000000,90038.3000000000,10.585000,1.032000
1765665089472,90038.2000000000,90038.3000000000,10.585000,1.143000
1765665089492,90038.2000000000,90038.3000000000,10.580000,1.143000
1765665089542,90038.2000000000,90038.3000000000,10.590000,1.143000
1765665089703,90038.2000000000,90038.3000000000,10.595000,1.143000
1765665089763,90038.2000000000,90038.3000000000,10.590000,1.143000
1765665089923,90038.2000000000,90038.3000000000,10.595000,1.143000
1765665089932,90038.2000000000,90038.3000000000,10.595000,0.646000
1765665091322,90038.2000000000,90038.3000000000,10.585000,0.646000
1765665091492,90038.2000000000,90038.3000000000,10.600000,0.646000
1765665091832,90038.2000000000,90038.3000000000,10.600000,0.348000
1765665091852,90038.2000000000,90038.3000000000,10.600000,0.664000
1765665092372,90038.2000000000,90038.3000000000,10.610000,0.664000
1765665092432,90038.2000000000,90038.3000000000,10.612000,0.664000
1765665092532,90038.2000000000,90038.3000000000,10.600000,0.664000
1765665092563,90038.2000000000,90038.3000000000,10.600000,0.674000
1765665092592,90038.2000000000,90038.3000000000,10.599000,0.674000
1765665092722,90038.2000000000,90038.3000000000,10.609000,0.674000
