order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766322156779,501952994614,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-0.0001,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
2,1766322156799,501952994674,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-0.0001,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
3,1766322156819,501952994722,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-0.0001,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
4,1766322156919,501952994968,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-0.0001,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
5,1766322156939,501952995027,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-0.0001,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
6,1766322157019,501952995214,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-0.0001,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
7,1766322157039,501952995266,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.99999998e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
8,1766322157119,501952995379,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999998e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
9,1766322157139,501952995486,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999971e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
10,1766322157179,501952995696,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999995e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
11,1766322157219,501952995851,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999963e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
12,1766322157219,501952995851,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999992e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
13,1766322157240,501952995894,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999954e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
14,1766322157259,501952995931,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999989e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
15,1766322157279,501952995966,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999989e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
16,1766322157299,501952996000,filled,BUY,TAKER,DEMO,None,88633.3,0.002,0,0.11,6.205342687,-9.999999942e-05,-0.1101,0.5,88633.25,88633.3,0.5,0,200,177.2666,0,1,0,0,0
