order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766301900378,94557031535,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
2,1766301900598,94557031580,filled,BUY,TAKER,DEMO,None,88122.1,0.011,0,0.59,6.08659617,0,-0.59,0,88122.1,88122.1,0,0,1000,969.3431,0,1,0,0,0
3,1766301900817,94557031637,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
4,1766301900998,94557031763,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
5,1766301901258,94557031888,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
6,1766301901457,94557031969,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
7,1766301901677,94557032051,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
8,1766301901877,94557032099,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
9,1766301902077,94557032204,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
10,1766301902297,94557032334,filled,BUY,TAKER,DEMO,None,88122.1,0.011,0,0.59,6.08659617,0,-0.59,0,88122.1,88122.1,0,0,1000,969.3431,0,1,0,0,0
11,1766301902517,94557032416,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
12,1766301902717,94557032479,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
13,1766301902957,94557032526,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
14,1766301903138,94557032588,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
15,1766301903297,94557032649,filled,BUY,TAKER,DEMO,None,88122.1,0.011,0,0.59,6.08659617,0,-0.59,0,88122.1,88122.1,0,0,1000,969.3431,0,1,0,0,0
16,1766301903557,94557032713,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
17,1766301903737,94557032762,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
18,1766301903977,94557032824,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
19,1766301904197,94557033219,filled,BUY,TAKER,DEMO,None,88122,0.011,0,0.59,6.086603077,-3.201419164e-13,-0.59,0,88122,88122,0,0,1000,969.342,0,1,0,0,0
20,1766301904417,94557033426,filled,BUY,TAKER,DEMO,None,88128.4,0.005675,0.005325,0.31,6.198404902,5.169198403e-13,-0.31,0,88128.4,88128.4,0,0,1000,500.12867,0,1,0,0,0
21,1766301904599,94557033661,filled,BUY,TAKER,DEMO,None,88122,0.011,0,0.59,6.086603077,-2.655722864e-13,-0.59,0,88122,88122,0,0,1000,969.342,0,1,0,0,0
22,1766301904818,94557033796,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
23,1766301905017,94557033909,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
24,1766301905277,94557034120,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
25,1766301905557,94557034348,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
26,1766301905697,94557034469,filled,BUY,TAKER,DEMO,None,88137.5,0.005675,0.005325,0.31,6.197764931,7.992495554e-13,-0.31,0,88137.5,88137.5,0,0,1000,500.1803125,0,1,0,0,0
28,1766301906177,94557034826,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
29,1766301906377,94557035024,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
30,1766301906577,94557035198,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
31,1766301906877,94557035416,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
32,1766301907077,94557035586,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
33,1766301907357,94557035831,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
34,1766301907477,94557035934,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
35,1766301907677,94557036483,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
36,1766301907897,94557036805,filled,BUY,TAKER,DEMO,None,88121.1,0.011,0,0.59,6.086665241,-7.646938638e-13,-0.59,0,88121.1,88121.1,0,0,1000,969.3321,0,1,0,0,0
37,1766301908098,94557037015,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
38,1766301908357,94557037262,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
39,1766301908497,94557037384,filled,BUY,TAKER,DEMO,None,88121.1,0.011,0,0.59,6.086665241,5.459521724e-14,-0.59,0,88121.1,88121.1,0,0,1000,969.3321,0,1,0,0,0
40,1766301908717,94557037686,filled,BUY,TAKER,DEMO,None,88121.1,0.011,0,0.59,6.086665241,-1.200706201e-13,-0.59,0,88121.1,88121.1,0,0,1000,969.3321,0,1,0,0,0
41,1766301908978,94557037890,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
42,1766301909177,94557038067,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
43,1766301909377,94557038264,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
44,1766301909577,94557039134,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
45,1766301909777,94557039769,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
46,1766301909977,94557040439,filled,BUY,TAKER,DEMO,None,88114.6,0.011,0,0.59,6.087114239,5.673239656e-14,-0.59,0,88114.6,88114.6,0,0,1000,969.2606,0,1,0,0,0
47,1766301910278,94557040589,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
48,1766301910437,94557040656,filled,BUY,TAKER,DEMO,None,88114.6,0.011,0,0.59,6.087114239,5.057065877e-13,-0.59,0,88114.6,88114.6,0,0,1000,969.2606,0,1,0,0,0
49,1766301910718,94557040725,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
