order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766322156779,501952994614,filled,SELL,TAKER,STRAT,None,88633.2,0.925,0.075,49.2,6.001045792,-1.11,-50.31,12,88634.4,88633.2,12,0,0,81985.71,0,1,0,0,0
7,1766322157139,501952995486,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0002999999923,-0.04029999999,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,120,-0
9,1766322157139,501952995486,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000096,-0.04030000001,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,20,-0
11,1766322157199,501952995804,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0002999999943,-0.04029999999,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,20,-0
0,1766322157259,501952995931,rejected,HOLD,NONE,STRAT,BadSide,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,0,0,0,0,0,0,0
2,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0003012889442,-0.04030128894,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,540,0
4,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0003017222802,-0.04030172228,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,500,0
6,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.000302157503,-0.0403021575,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,380,0
8,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.000302594603,-0.0403025946,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,280,0
10,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0003030335836,-0.04030303358,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,180,0
12,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0003034744882,-0.04030347449,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,120,0
14,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.000303917306,-0.04030391731,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,79,0
16,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0003043620527,-0.04030436205,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,20,0
0,1766322157939,501952996895,rejected,HOLD,NONE,STRAT,BadSide,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,0,0,0,0,0,0,0
0,1766322158519,501952997606,rejected,HOLD,NONE,STRAT,BadSide,0,0,0,0,0,0,0,0,88633.25,88633.2,0,0,0,0,0,0,0,0,0
13,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000046,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1460,-0
15,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0002999999931,-0.04029999999,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1400,-0
17,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.000299999998,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1360,-0
19,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000141,-0.04030000001,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1300,-0
21,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.000299999995,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1240,-0
23,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000014,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1040,-0
25,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0002999999995,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,1000,-0
27,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000087,-0.04030000001,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,920,-0
29,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0002999999939,-0.04029999999,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,780,-0
31,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000143,-0.04030000001,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,720,-0
33,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0002999999929,-0.04029999999,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,620,-0
35,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000019,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,539,-0
37,1766322158679,501952997805,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003000000039,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,459,-0
