order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766314067779,501913656101,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,0,-0.59,0,88591.6,88591.6,0,0,1000,974.5076,0,1,0,0,0
2,1766314067999,501913657072,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.00055,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
3,1766314068199,501913658349,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.00055,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
4,1766314068399,501913658944,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.00055,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
5,1766314068619,501913659307,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000008,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
6,1766314068860,501913659698,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000002,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
7,1766314069179,501913660236,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000002,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
8,1766314069239,501913660658,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000002,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
9,1766314069579,501913662818,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000002,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
10,1766314069639,501913663593,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000018,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
11,1766314069859,501913665997,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000004,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
12,1766314070079,501913667685,filled,BUY,TAKER,DEMO,None,88591.6,0.011,0,0.59,6.054339648,-0.0005500000004,-0.59055,0.5,88591.55,88591.6,0.5,0,1000,974.5076,0,1,0,0,0
13,1766314070239,501913669411,filled,BUY,TAKER,DEMO,None,88591.1,0.011,0,0.59,6.054373818,-0.005499999999,-0.5955,5,88590.6,88591.1,5,0,1000,974.5021,0,1,0,0,0
14,1766314070459,501913673870,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999972,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
15,1766314070640,501913675183,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999991,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
16,1766314070839,501913675868,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999981,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
17,1766314071039,501913677228,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005500000002,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
18,1766314071239,501913678082,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.000549999998,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
19,1766314071459,501913678705,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999984,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
20,1766314071639,501913678947,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999991,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
21,1766314071979,501913679200,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999973,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
22,1766314072139,501913679639,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999983,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
23,1766314072339,501913680404,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.000550000002,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
24,1766314072559,501913682849,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999994,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
25,1766314072739,501913684345,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999968,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
26,1766314072959,501913686605,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.00055,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
27,1766314073219,501913688146,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999975,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
28,1766314073459,501913689549,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999962,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
29,1766314073679,501913692101,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.000549999998,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
30,1766314073959,501913694665,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999973,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
31,1766314074159,501913695762,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999988,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
32,1766314074359,501913701657,filled,BUY,TAKER,DEMO,None,88597.2,0.011,0,0.59,6.053956969,-0.0005499999964,-0.59055,0.5,88597.15,88597.2,0.5,0,1000,974.5692,0,1,0,0,0
33,1766314074579,501913704651,filled,BUY,TAKER,DEMO,None,88597.2,0.011,0,0.59,6.053956969,-0.0005499999972,-0.59055,0.5,88597.15,88597.2,0.5,0,1000,974.5692,0,1,0,0,0
34,1766314074759,501913707498,filled,BUY,TAKER,DEMO,None,88597.2,0.011,0,0.59,6.053956969,-0.0005500000004,-0.59055,0.5,88597.15,88597.2,0.5,0,1000,974.5692,0,1,0,0,0
35,1766314074959,501913712852,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999964,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
36,1766314075159,501913714906,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005500000002,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
37,1766314075399,501913716216,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.000549999997,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
38,1766314075579,501913718503,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999976,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
39,1766314075819,501913720024,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005500000007,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
40,1766314075979,501913720865,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005499999927,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
41,1766314076239,501913722027,filled,BUY,TAKER,DEMO,None,88590.1,0.011,0,0.59,6.05444216,-0.0005500000016,-0.59055,0.5,88590.05,88590.1,0.5,0,1000,974.4911,0,1,0,0,0
