order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766320122319,501941264131,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
2,1766320122519,501941264277,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
3,1766320123180,501941264680,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005499999996,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
4,1766320123539,501941264925,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000005,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
6,1766320124060,501941265262,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
7,1766320124420,501941265474,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.000550000001,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
8,1766320124619,501941265637,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
9,1766320125019,501941265899,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
10,1766320125180,501941266015,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
12,1766320125779,501941266468,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
13,1766320125939,501941266590,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
14,1766320126300,501941266836,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
15,1766320126479,501941266967,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005499999981,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
16,1766320126900,501941267255,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
17,1766320127680,501941267716,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005499999976,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
18,1766320128059,501941267967,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005499999999,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
19,1766320128239,501941268110,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005499999999,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
20,1766320128499,501941268373,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000028,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
21,1766320128759,501941268597,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
22,1766320129059,501941268823,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
23,1766320129179,501941269009,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.00055,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
24,1766320129399,501941269226,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000036,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
25,1766320129619,501941269459,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000039,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
26,1766320129859,501941269580,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000004,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
27,1766320130139,501941269939,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000004,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
28,1766320130379,501941270166,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000004,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
29,1766320130580,501941270327,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000004,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
30,1766320130839,501941271353,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000004,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
31,1766320131039,501941271889,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000004,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
32,1766320131279,501941272758,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005499999956,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
33,1766320131479,501941273565,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
34,1766320131819,501941274799,filled,BUY,TAKER,DEMO,None,88780,0.011,0,0.59,6.041491736,-0.0005500000002,-0.59055,0.5,88779.95,88780,0.5,0,1000,976.58,0,1,0,0,0
