order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766303268898,94557642693,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
2,1766303269217,94557642773,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
3,1766303269458,94557642817,filled,BUY,TAKER,DEMO,None,88098.3,0.011,0,0.59,6.088240481,0,-0.59,0,88098.3,88098.3,0,0,1000,969.0813,0,1,0,0,0
4,1766303269637,94557642857,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
5,1766303269937,94557643154,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
6,1766303270138,94557643325,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
7,1766303270378,94557643401,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
8,1766303270597,94557643449,filled,BUY,TAKER,DEMO,None,88081.8,0.011,0,0.59,6.089380966,0,-0.59,0,88081.8,88081.8,0,0,1000,968.8998,0,1,0,0,0
9,1766303270798,94557643529,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
10,1766303271177,94557643654,filled,BUY,TAKER,DEMO,None,88081.8,0.011,0,0.59,6.089380966,0,-0.59,0,88081.8,88081.8,0,0,1000,968.8998,0,1,0,0,0
11,1766303271418,94557643756,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
12,1766303271577,94557643806,filled,BUY,TAKER,DEMO,None,88081.8,0.011,0,0.59,6.089380966,-6.402656183e-13,-0.59,0,88081.8,88081.8,0,0,1000,968.8998,0,1,0,0,0
13,1766303271799,94557643954,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
14,1766303271977,94557644042,filled,BUY,TAKER,DEMO,None,88081.8,0.011,0,0.59,6.089380966,-3.201328092e-13,-0.59,0,88081.8,88081.8,0,0,1000,968.8998,0,1,0,0,0
15,1766303272258,94557644162,filled,BUY,TAKER,DEMO,None,88081.8,0.011,0,0.59,6.089380966,0,-0.59,0,88081.8,88081.8,0,0,1000,968.8998,0,1,0,0,0
16,1766303272557,94557644248,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
17,1766303272657,94557644277,filled,BUY,TAKER,DEMO,None,88093.1,0.005677,0.005323,0.31,6.198704115,9.203748874e-14,-0.31,0,88093.1,88093.1,0,0,1000,500.1045287,0,1,0,0,0
18,1766303272877,94557644344,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
19,1766303273157,94557644432,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
20,1766303273297,94557644459,filled,BUY,TAKER,DEMO,None,88093,0.005677,0.005323,0.31,6.198711152,8.510969707e-13,-0.31,0,88093,88093,0,0,1000,500.103961,0,1,0,0,0
21,1766303273517,94557644506,filled,BUY,TAKER,DEMO,None,88093.1,0.005677,0.005323,0.31,6.198704115,6.734612867e-13,-0.31,0,88093.1,88093.1,0,0,1000,500.1045287,0,1,0,0,0
22,1766303273717,94557644547,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
23,1766303273918,94557644591,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
24,1766303274137,94557644663,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
25,1766303274377,94557644703,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
26,1766303274517,94557644739,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
27,1766303274798,94557644795,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
28,1766303275017,94557644868,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
29,1766303275218,94557644929,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
30,1766303275578,94557644999,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
31,1766303275817,94557645058,filled,BUY,TAKER,DEMO,None,88093,0.005677,0.005323,0.31,6.198711152,8.308909116e-13,-0.31,0,88093,88093,0,0,1000,500.103961,0,1,0,0,0
32,1766303276017,94557645133,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
33,1766303276538,94557645253,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
34,1766303276717,94557645289,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
35,1766303276938,94557645337,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
36,1766303277157,94557645423,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
37,1766303277357,94557645527,rejected,BUY,NONE,DEMO,NoAsk,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
