order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
1,1766322156779,501952994614,filled,BUY,TAKER,DEMO,None,88645.14545,0.011,0,0.59,6.050682568,-0.1182,-0.7082,107.4545455,88634.4,88635.6,107.4545455,95.45454545,1000,975.0966,0,2,0,0,0
2,1766322156799,501952994674,filled,BUY,TAKER,DEMO,None,88641.91818,0.011,0,0.59,6.050902861,-0.0827,-0.6727,75.18181818,88634.4,88635.6,75.18181818,63.18181818,1000,975.0611,0,3,0,0,0
3,1766322156819,501952994722,filled,BUY,TAKER,DEMO,None,88638.14545,0.011,0,0.59,6.051160407,-0.0412,-0.6312,37.45454545,88634.4,88635.6,37.45454545,25.45454545,1000,975.0196,0,2,0,0,0
4,1766322156919,501952994968,filled,BUY,TAKER,DEMO,None,88638.14545,0.011,0,0.59,6.051160407,-0.0412,-0.6312,37.45454545,88634.4,88635.6,37.45454545,25.45454545,1000,975.0196,0,2,0,0,0
5,1766322156939,501952995027,filled,BUY,TAKER,DEMO,None,88638.14545,0.011,0,0.59,6.051160407,-0.0412,-0.6312,37.45454545,88634.4,88635.6,37.45454545,25.45454545,1000,975.0196,0,2,0,0,0
6,1766322157019,501952995214,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000005,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
7,1766322157039,501952995266,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000004,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
8,1766322157119,501952995379,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.00055,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
9,1766322157139,501952995486,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000002,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
10,1766322157179,501952995696,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000015,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
11,1766322157219,501952995851,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999991,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
12,1766322157219,501952995851,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.00055,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
13,1766322157240,501952995894,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.00055,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
14,1766322157259,501952995931,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999994,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
15,1766322157299,501952996000,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999992,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
16,1766322157319,501952996055,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000008,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
17,1766322157339,501952996121,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000002,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
18,1766322157379,501952996166,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999986,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
19,1766322157419,501952996226,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999988,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
20,1766322157439,501952996253,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999994,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
21,1766322157519,501952996352,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000550000001,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
22,1766322157639,501952996499,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999994,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
23,1766322157659,501952996517,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999986,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
24,1766322157739,501952996630,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999992,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
25,1766322157739,501952996630,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999996,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
26,1766322157759,501952996638,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000021,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
27,1766322157879,501952996777,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000549999998,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
28,1766322157899,501952996803,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999967,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
29,1766322157920,501952996831,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999952,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
30,1766322157939,501952996895,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999962,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
31,1766322158039,501952997019,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000015,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
32,1766322158059,501952997061,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000008,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
33,1766322158119,501952997113,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000002,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
34,1766322158140,501952997132,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999964,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
35,1766322158199,501952997171,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999965,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
36,1766322158220,501952997208,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000039,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
37,1766322158299,501952997330,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999952,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
38,1766322158319,501952997355,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000026,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
39,1766322158359,501952997397,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999965,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
40,1766322158379,501952997438,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999988,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
41,1766322158399,501952997461,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000549999997,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
42,1766322158459,501952997537,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999996,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
43,1766322158479,501952997564,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999991,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
44,1766322158500,501952997584,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000026,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
45,1766322158519,501952997606,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000004,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
46,1766322158559,501952997652,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000045,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
47,1766322158619,501952997720,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000549999997,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
48,1766322158639,501952997743,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999976,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
49,1766322158660,501952997769,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999991,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
50,1766322158679,501952997805,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000036,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
51,1766322158740,501952997903,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999931,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
52,1766322158759,501952997934,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999999,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
53,1766322158819,501952998048,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000007,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
54,1766322158899,501952998160,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000048,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
55,1766322158920,501952998196,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000032,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
56,1766322158939,501952998216,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999972,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
57,1766322159059,501952998381,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000031,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
58,1766322159079,501952998403,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000008,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
59,1766322159100,501952998419,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000036,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
60,1766322159139,501952998442,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999972,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
61,1766322159219,501952998489,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000002,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
62,1766322159240,501952998539,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000012,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
63,1766322159259,501952998554,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999954,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
64,1766322159319,501952998623,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000053,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
65,1766322159339,501952998650,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000045,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
66,1766322159359,501952998667,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999956,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
67,1766322159420,501952998703,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000550000001,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
68,1766322159439,501952998719,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999952,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
69,1766322159519,501952998761,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999943,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
70,1766322159539,501952998771,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999965,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
71,1766322159620,501952998851,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999997,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
72,1766322159659,501952998883,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999981,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
73,1766322159679,501952998897,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000069,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
74,1766322159719,501952999233,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999938,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
75,1766322159719,501952999233,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000056,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
76,1766322159740,501952999259,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999906,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
77,1766322159779,501952999283,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000550000001,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
78,1766322159800,501952999297,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000013,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
79,1766322159820,501952999318,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999935,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
80,1766322159860,501952999340,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000550000005,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
81,1766322159899,501952999354,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000026,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
82,1766322159919,501952999365,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000007,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
83,1766322159959,501952999380,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999885,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
84,1766322159979,501952999407,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000109,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
85,1766322159999,501952999424,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005499999871,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
86,1766322160079,501952999471,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000550000005,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
87,1766322160119,501952999493,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000023,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
88,1766322160219,501952999562,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000549999993,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
89,1766322160240,501952999583,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000039,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
90,1766322160259,501952999622,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000032,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
91,1766322160299,501952999739,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000069,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
92,1766322160379,501952999943,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000047,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
93,1766322160419,501953000075,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000550000014,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
94,1766322160419,501953000075,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.000549999998,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
95,1766322160439,501953000091,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000127,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
96,1766322160619,501953000186,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000159,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
97,1766322160639,501953000202,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000044,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
98,1766322160659,501953000224,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000034,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
99,1766322160699,501953000249,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000197,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
100,1766322160699,501953000249,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000008,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
101,1766322160719,501953000284,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000096,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
102,1766322160739,501953000325,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000093,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
103,1766322160759,501953000340,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000165,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
104,1766322160779,501953000367,filled,BUY,TAKER,DEMO,None,88633.3,0.011,0,0.59,6.051491216,-0.0005500000018,-0.59055,0.5,88633.25,88633.3,0.5,0,1000,974.9663,0,1,0,0,0
