order_id,ts_ms,seq,status,side,liquidity,src,reason,vwap,filled_qty,unfilled_qty,fee,fee_bps,gross,net,exec_cost_ticks_signed,mid,best,spread_paid_ticks,slip_ticks,target_notional,filled_notional,crossing,levels_crossed,adv_ticks,queue_time_ms,adv_selection_ticks
2,1766322157019,501952995214,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,240,-0
4,1766322157019,501952995214,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,200,-0
6,1766322157019,501952995214,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,80,-0
8,1766322157139,501952995486,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,100,-0
10,1766322157179,501952995696,filled,SELL,MAKER,MAKER,None,88633.1,0.002,0,0.04,2.256493342,-0.0003,-0.0403,1.5,88633.25,88633.2,1.5,0,0,177.2662,0,1,2,40,-0
1,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0005,-0.0405,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,560,0
3,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0006,-0.0406,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,520,0
5,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0007666666667,-0.04076666667,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,400,0
7,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0011,-0.0411,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,300,0
9,1766322157319,501952996055,filled,BUY,MAKER,MAKER,None,88633.3,0.002,0,0.04,2.25648825,-0.0001,-0.0401,0.5,88633.25,88633.3,0.5,0,0,177.2666,0,1,2,200,0
